SamAccountName,password,path,GivenName,Surname,Initials,Name,DisplayName,UserPrincipalName,Department,Description,Office,OfficePhone,EmailAddress,StreetAddress,POBox ,City,State,PostalCode,Title,Company
mark.test1,Football22!,"OU=TEST,DC=ENOTES,DC=LOCAL",Mark,test1,B,Mark Test1,Mark Test1,mark.test1@ENOTES.LOCAL,Marketing,,Marketing Office,541-213-5441,mark.test1@ENOTES.LOCAL,123 w maple,,Nixa,Mo,65421,Jr Admin,AD Pro
mark.test2,Football22!,"OU=TEST,DC=ENOTES,DC=LOCAL",Mark,test2,J,Mark Test2,Mark Test2,mark.test1@ENOTES.LOCAL,Marketing,,Marketing Office,541-213-5442,mark.test1@ENOTES.LOCAL,345 e maple,,Ozark,Mo,65421,Sr Admin,AD Pro
mark.test3,Football22!,"OU=TEST,DC=ENOTES,DC=LOCAL",Mark,test3,J,Mark Test3,Mark Test3,mark.test1@ENOTES.LOCAL,,,Marketing Office,541-213-5443,mark.test1@ENOTES.LOCAL,346 e maple,,Ozark,Mo,,,
mark.test4,Football22!,"OU=TEST,DC=ENOTES,DC=LOCAL",Mark,test4,J,Mark Test4,Mark Test4,mark.test1@ENOTES.LOCAL,,,Marketing Office,541-213-5444,mark.test1@ENOTES.LOCAL,347 e maple,,Ozark,Mo,,,
mark.test5,Football22!,"OU=TEST,DC=ENOTES,DC=LOCAL",Mark,test5,J,Mark Test5,Mark Test5,mark.test1@ENOTES.LOCAL,,,Marketing Office,541-213-5445,mark.test1@ENOTES.LOCAL,348 e maple,,Ozark,Mo,,,
mark.test6,Football22!,"OU=TEST,DC=ENOTES,DC=LOCAL",Mark,test6,J,Mark Test6,Mark Test6,mark.test1@ENOTES.LOCAL,,,Marketing Office,541-213-5446,mark.test1@ENOTES.LOCAL,349 e maple,,Ozark,Mo,,,
mark.test7,Football22!,"OU=TEST,DC=ENOTES,DC=LOCAL",Mark,test7,J,Mark Test7,Mark Test7,mark.test1@ENOTES.LOCAL,,,Marketing Office,541-213-5447,mark.test1@ENOTES.LOCAL,350 e maple,,Ozark,Mo,,,
mark.test8,Football22!,"OU=TEST,DC=ENOTES,DC=LOCAL",Mark,test8,J,Mark Test8,Mark Test8,mark.test1@ENOTES.LOCAL,,,Marketing Office,541-213-5448,mark.test1@ENOTES.LOCAL,351 e maple,,Ozark,Mo,,,
mark.test9,Football22!,"OU=TEST,DC=ENOTES,DC=LOCAL",Mark,test9,J,Mark Test9,Mark Test9,mark.test1@ENOTES.LOCAL,,,Marketing Office,541-213-5449,mark.test1@ENOTES.LOCAL,352 e maple,,Ozark,Mo,,,
mark.test10,Football22!,"OU=TEST,DC=ENOTES,DC=LOCAL",Mark,test10,J,Mark Test10,Mark Test10,mark.test1@ENOTES.LOCAL,,,Marketing Office,541-213-5450,mark.test1@ENOTES.LOCAL,353 e maple,,Ozark,Mo,,,
